Diocese,Province,Cathedral_List,Cathedral_coord_list
Erie,Philadelphia,['Saint Peter Cathedral'],[]
Greensburg,Philadelphia,['Blessed Sacrament Cathedral'],[]
Harrisburg,Philadelphia,['Cathedral of Saint Patrick'],[]
Pittsburgh,Philadelphia,['Saint Paul Cathedral'],[]
Scranton,Philadelphia,"[""Saint Peter's Cathedral""]",[]
Portland in Oregon,Portland in Oregon,,
Baker,Portland in Oregon,['Saint Francis de Sales Cathedral'],[]
Boise,Portland in Oregon,['Cathedral of Saint John the Evangelist'],[]
Great Falls-Billings,Portland in Oregon,,
Helena,Portland in Oregon,['Cathedral of Saint Helena'],[]
St. Louis,St. Louis,['Cathedral Basilica of Saint Louis'],[]
Jefferson City,St. Louis,['Cathedral of Saint Joseph'],[]
Kansas City-St. Joseph,St. Louis,,
Springfield-Cape Girardeau,St. Louis,,
St. Paul and Minneapolis,St. Paul and Minneapolis,,
Bismark,St. Paul and Minneapolis,,
Crookston,St. Paul and Minneapolis,['Cathedral of the Immaculate Conception'],[]
Duluth,St. Paul and Minneapolis,['Cathedral of Our Lady of the Rosary'],[]
Fargo,St. Paul and Minneapolis,['Cathedral of Saint Mary'],[]
New Ulm,St. Paul and Minneapolis,['Cathedral of the Holy Trinity'],[]
Rapid City,St. Paul and Minneapolis,['Cathedral of Our Lady of Perpetual Help'],[]
St. Cloud,St. Paul and Minneapolis,,
Sioux Falls,St. Paul and Minneapolis,['Saint Joseph Cathedral'],[]
Winona-Rochester,St. Paul and Minneapolis,['Cathedral of the Sacred Heart (Winona)'],[]
Winona-Rochester,St. Paul and Minneapolis,['Co-Cathedral of St. John the Evangelist (Rochester)'],[]
San Antonio,San Antonio,['Cathedral of San Fernando'],[]
Amarillo,San Antonio,"[""St. Mary's Cathedral""]",[]
Dallas,San Antonio,['Cathedral Santuario de Guadalupe'],[]
El Paso,San Antonio,['Saint Patrick Cathedral'],[]
Fort Worth,San Antonio,['Cathedral of Saint Patrick'],[]
Laredo,San Antonio,['Cathedral of San Agustin'],[]
Lubbock,San Antonio,['Christ the King Cathedral'],[]
San Angelo,San Antonio,['Cathedral of the Sacred Heart'],[]
San Francisco,San Francisco,['Cathedral of Saint Mary of the Assumption'],[]
Honolulu,San Francisco,['Cathedral Basilica of Our Lady of Peace'],[]
Honolulu,San Francisco,['Co-Cathedral of Saint Theresa of the Child Jesus'],[]
Las Vegas,San Francisco,['Guardian Angel Cathedral'],[]
Oakland,San Francisco,['Cathedral of Christ the Light'],[]
Reno,San Francisco,['Saint Thomas Aquinas Cathedral'],[]
Sacramento,San Francisco,['Cathedral of the Blessed Sacrament'],[]
Salt Lake City,San Francisco,['Cathedral of the Madeleine'],[]
San Jose,San Francisco,['Cathedral Basilica of Saint Joseph'],[]
Santa Rosa,San Francisco,['Cathedral of Saint Eugene'],[]
Stockton,San Francisco,['Cathedral of the Annunciation'],[]
Santa Fe,Santa Fe,['Cathedral Basilica of St. Francis of Assisi'],[]
Gallup,Santa Fe,['Sacred Heart Cathedral'],[]
Las Cruces,Santa Fe,['Cathedral of the Immaculate Heart of Mary'],[]
Phoenix,Santa Fe,['Cathedral of Saints Simon and Jude'],[]
Tucson,Santa Fe,['Cathedral of Saint Augustine'],[]
Seattle,Seattle,['Saint James Cathedral'],[]
Spokane,Seattle,['Cathedral of Our Lady of Lourdes'],[]
Yakima,Seattle,['Saint Paul Cathedral'],[]
Washington,Washington,['Cathedral of Saint Matthew the Apostle'],[]
St. Thomas,Washington,,
