,ANSICODE,HYDROID,FULLNAME,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
399368,,110470292576,,H2030,0.0,3008.0,+41.9293680,-80.4748173,"POLYGON ((-80.47534699999994 41.929385000000025, -80.47495799999996 41.92964400000005, -80.47413499999999 41.929324000000065, -80.47478299999995 41.929148000000055, -80.47534699999994 41.929385000000025))"
399391,,110470292600,,H2030,0.0,4436.0,+41.9479333,-80.4555378,"POLYGON ((-80.45623599999999 41.94814500000007, -80.45571599999994 41.948199000000045, -80.45438899999994 41.94765300000006, -80.45608199999998 41.94773300000003, -80.45623599999999 41.94814500000007))"
399795,,110470292677,,H2030,0.0,195688.0,+41.8709639,-80.4103660,"POLYGON ((-80.47112199999998 41.867170000000044, -80.46892199999996 41.871042000000045, -80.46752599999996 41.87187800000004, -80.46680999999995 41.87205700000004, -80.46545899999995 41.87164900000005, -80.46288099999998 41.869654000000025, -80.46023299999996 41.87084800000008, -80.45513599999998 41.86918500000007, -80.45399999999995 41.86862000000008, -80.45258099999995 41.86563300000006, -80.45145099999996 41.86583900000005, -80.44797999999997 41.86497000000003, -80.44606399999998 41.86379800000003, -80.44263099999995 41.86600000000004, -80.44133299999999 41.86638800000003, -80.43860199999995 41.86629300000004, -80.43794499999996 41.86579000000006, -80.43716899999998 41.864603000000045, -80.43333799999994 41.86607900000007, -80.43264399999998 41.86582800000008, -80.43155399999995 41.86497000000003, -80.42978999999997 41.86892900000004, -80.42790499999995 41.869448000000034, -80.42636399999998 41.86888700000003, -80.42520399999995 41.870318000000054, -80.42515999999995 41.87181700000008, -80.42405299999996 41.87322500000005, -80.42177899999996 41.87387300000006, -80.40168699999998 41.86978300000004, -80.40599299999997 41.85804200000007, -80.40706199999994 41.85686300000003, -80.40867099999997 41.85644000000008, -80.40994599999993 41.85641300000003, -80.41005299999995 41.854914000000065, -80.41076199999998 41.854662000000076, -80.41173199999997 41.85462800000005, -80.41164699999996 41.85343000000006, -80.41292099999998 41.853601000000026, -80.41134899999997 41.85249200000004, -80.41186199999999 41.85059700000005, -80.41307399999994 41.853594000000044, -80.41250899999994 41.85383100000007, -80.41176899999994 41.853579000000025, -80.41189799999995 41.85462400000006, -80.41017399999998 41.85506600000008, -80.41011999999995 41.85648500000008, -80.40580999999997 41.85866800000008, -80.40508499999999 41.867785000000026, -80.41039699999999 41.87089000000003, -80.42320699999993 41.87340000000006, -80.42464699999994 41.87224400000008, -80.42518199999995 41.86994000000004, -80.42638599999998 41.86868500000003, -80.42966799999994 41.86879900000008, -80.43151599999999 41.86482900000004, -80.44579099999999 41.86366900000007, -80.45280199999996 41.865492000000074, -80.45500599999997 41.86900900000006, -80.46295699999996 41.86958500000003, -80.46684799999997 41.87199300000003, -80.47112199999998 41.867170000000044))"
399796,,110470292678,,H2030,0.0,1369722640.0,+42.2975477,-80.1455814,"POLYGON ((-80.51985099999996 42.32713200000006, -80.08022199999994 42.39416200000005, -79.76241799999997 42.516072000000065, -79.76186699999994 42.269326000000035, -79.78442199999995 42.26309700000007, -79.77701399999995 42.25929300000007, -79.77701399999995 42.25863000000004, -79.77986099999998 42.25653200000005, -79.77627499999994 42.25430000000006, -79.77589399999994 42.24670100000003, -79.77908999999994 42.244759000000045, -79.77314699999994 42.24184100000008, -79.77064699999994 42.23681300000004, -79.77930199999997 42.24478600000003, -79.77615299999997 42.246804000000054, -79.78006699999997 42.256593000000066, -79.77728099999996 42.25933200000003, -79.78361299999995 42.26137600000004, -79.78468999999996 42.26326100000006, -79.81078799999995 42.25004400000006, -80.24979699999994 42.25006200000007, -80.24978999999996 42.12505900000008, -80.49979899999994 42.12505700000003, -80.49979299999995 42.00005600000003, -80.51944799999995 42.00005500000003, -80.51985099999996 42.32713200000006))"
399798,,110470292688,,H2030,0.0,257050.0,+41.9198065,-80.4415698,"POLYGON ((-80.46908599999995 41.91788800000006, -80.46184299999999 41.91935600000005, -80.45160299999998 41.917613000000074, -80.45026099999995 41.92418900000007, -80.40256099999993 41.92539100000005, -80.40063799999996 41.92458200000004, -80.39981299999994 41.92377000000005, -80.39563899999996 41.91658300000006, -80.40251399999994 41.925204000000065, -80.40667899999994 41.920630000000074, -80.45013199999994 41.923785000000066, -80.45151099999998 41.91736400000008, -80.46908599999995 41.91788800000006))"
801782,,110378324353,,H2030,0.0,10803.0,+41.9152220,-80.5792682,"POLYGON ((-80.58024499999993 41.91533300000003, -80.57874499999997 41.91560800000008, -80.57816299999996 41.915448000000026, -80.57963299999994 41.91480700000005, -80.58024499999993 41.91533300000003))"
801786,,110378324435,,H2030,0.0,4123.0,+41.7881522,-80.8487601,"POLYGON ((-80.84935799999994 41.788406000000066, -80.84899199999995 41.78847500000006, -80.84819699999997 41.78806300000008, -80.84856299999996 41.78781100000003, -80.84935799999994 41.788406000000066))"
801787,,110378324457,,H2030,0.0,7773.0,+41.8909975,-80.6882980,"POLYGON ((-80.68907899999994 41.89101500000004, -80.68812999999994 41.891403000000025, -80.68760899999995 41.89122000000003, -80.68791599999997 41.89069400000005, -80.68907899999994 41.89101500000004))"
806735,,110378324437,,H2030,0.0,49846.0,+41.7637381,-80.8737141,"POLYGON ((-80.87452299999995 41.76178800000008, -80.87388099999998 41.762429000000054, -80.87437299999993 41.76734700000003, -80.87287199999997 41.76217800000006, -80.87452299999995 41.76178800000008))"
806736,,110378324439,,H2030,0.0,14571.0,+41.7686698,-80.7829137,"POLYGON ((-80.78364299999998 41.76889300000005, -80.78287899999998 41.76928200000003, -80.78199299999994 41.76905300000004, -80.78352099999995 41.767818000000034, -80.78364299999998 41.76889300000005))"
